
******  Results for 100 ******
# 100 
#OBS	 Acc	 Prec	 Rec	 F-S
100	0.928	0.820	0.820	0.820
******  Results for 80 ******
# 80 
#OBS	 Acc	 Prec	 Rec	 F-S
80	0.928	0.820	0.820	0.820
******  Results for 50 ******
# 50 
#OBS	 Acc	 Prec	 Rec	 F-S
50	0.928	0.820	0.820	0.820
******  Results for 10 ******
# 10 
#OBS	 Acc	 Prec	 Rec	 F-S
10	0.928	0.820	0.820	0.820
******  Results for 5 ******
# 5 
#OBS	 Acc	 Prec	 Rec	 F-S
5	0.928	0.820	0.820	0.820
******  Results for 2 ******
# 2 
#OBS	 Acc	 Prec	 Rec	 F-S
2	0.896	0.740	0.740	0.740
******  Results for 100-0.5 ******
# 100-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
100-0.5	0.928	0.820	0.820	0.820
******  Results for 80-0.5 ******
# 80-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
80-0.5	0.928	0.820	0.820	0.820
******  Results for 50-0.5 ******
# 50-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
50-0.5	0.928	0.820	0.820	0.820
******  Results for 10-0.5 ******
# 10-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
10-0.5	0.928	0.820	0.820	0.820
******  Results for 5-0.5 ******
# 5-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
5-0.5	0.924	0.810	0.810	0.810
******  Results for 2-0.5 ******
# 2-0.5 
#OBS	 Acc	 Prec	 Rec	 F-S
2-0.5	0.876	0.690	0.690	0.690
******  Results for 100-static ******
# 100-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-static	0.972	0.930	0.930	0.930
******  Results for 80-static ******
# 80-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-static	0.972	0.930	0.930	0.930
******  Results for 50-static ******
# 50-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-static	0.972	0.930	0.930	0.930
******  Results for 10-static ******
# 10-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-static	0.972	0.930	0.930	0.930
******  Results for 5-static ******
# 5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-static	0.972	0.930	0.930	0.930
******  Results for 2-static ******
# 2-static 
#OBS	 Acc	 Prec	 Rec	 F-S
2-static	0.960	0.900	0.900	0.900
******  Results for 100-0.5-static ******
# 100-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-0.5-static	0.972	0.930	0.930	0.930
******  Results for 80-0.5-static ******
# 80-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-0.5-static	0.972	0.930	0.930	0.930
******  Results for 50-0.5-static ******
# 50-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-0.5-static	0.972	0.930	0.930	0.930
******  Results for 10-0.5-static ******
# 10-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-0.5-static	0.972	0.930	0.930	0.930
******  Results for 5-0.5-static ******
# 5-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-0.5-static	0.968	0.920	0.920	0.920
******  Results for 2-0.5-static ******
# 2-0.5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
2-0.5-static	0.920	0.800	0.800	0.800
******  Results for 100-static ******
# 100-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-static	0.950	0.875	0.875	0.875
******  Results for 80-static ******
# 80-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-static	0.950	0.875	0.875	0.875
******  Results for 50-static ******
# 50-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-static	0.950	0.875	0.875	0.875
******  Results for 10-static ******
# 10-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-static	0.950	0.875	0.875	0.875
******  Results for 5-static ******
# 5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-static	0.950	0.875	0.875	0.875
******  Results for 2-static ******
# 2-static 
#OBS	 Acc	 Prec	 Rec	 F-S
2-static	0.920	0.800	0.800	0.800
******  Results for 100-passion-static ******
# 100-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-passion-static	0.950	0.875	0.875	0.875
******  Results for 80-passion-static ******
# 80-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-passion-static	0.950	0.875	0.875	0.875
******  Results for 50-passion-static ******
# 50-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-passion-static	0.950	0.875	0.875	0.875
******  Results for 10-passion-static ******
# 10-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-passion-static	0.930	0.825	0.825	0.825
******  Results for 5-passion-static ******
# 5-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-passion-static	0.600	0.000	0.000	0.000
******  Results for 2-passion-static ******
# 2-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
2-passion-static	0.600	0.000	0.000	0.000
******  Results for 100-static ******
# 100-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-static	0.960	0.900	0.900	0.900
******  Results for 80-static ******
# 80-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-static	0.936	0.840	0.840	0.840
******  Results for 50-static ******
# 50-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-static	0.936	0.840	0.840	0.840
******  Results for 10-static ******
# 10-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-static	0.932	0.830	0.830	0.830
******  Results for 5-static ******
# 5-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-static	0.920	0.800	0.800	0.800
******  Results for 2-static ******
# 2-static 
#OBS	 Acc	 Prec	 Rec	 F-S
2-static	0.832	0.580	0.580	0.580
******  Results for 100-passion-static ******
# 100-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
100-passion-static	0.960	0.900	0.900	0.900
******  Results for 80-passion-static ******
# 80-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
80-passion-static	0.936	0.840	0.840	0.840
******  Results for 50-passion-static ******
# 50-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
50-passion-static	0.936	0.840	0.840	0.840
******  Results for 10-passion-static ******
# 10-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
10-passion-static	0.932	0.830	0.830	0.830
******  Results for 5-passion-static ******
# 5-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
5-passion-static	0.908	0.770	0.770	0.770
******  Results for 2-passion-static ******
# 2-passion-static 
#OBS	 Acc	 Prec	 Rec	 F-S
